Date,Open,High,Low,Close
1/31/2022,1.035,1.0587,1.01,1.0479
1/30/2022,1.066,1.0774,1.0246,1.035
1/29/2022,1.0481,1.083,1.0395,1.067
1/28/2022,1.0339,1.0586,1.0108,1.0482
1/27/2022,1.0375,1.0888,1.0055,1.0347
1/26/2022,1.0281,1.1543,1.0238,1.0365
1/25/2022,1.0788,1.0795,0.9925,1.0278
1/24/2022,1.0682,1.1391,0.9519,1.0774
1/23/2022,1.0898,1.1693,1.0506,1.0682
1/22/2022,1.1457,1.1569,0.9257,1.0921
1/21/2022,1.2855,1.3023,1.112,1.1409
1/20/2022,1.3294,1.4261,1.2865,1.2865
1/19/2022,1.4726,1.533,1.3303,1.3311
1/18/2022,1.527,1.636,1.4138,1.4726
1/17/2022,1.3964,1.5709,1.3877,1.5267
1/16/2022,1.308,1.4215,1.2888,1.3964
1/15/2022,1.2993,1.3192,1.2524,1.308
1/14/2022,1.2508,1.3083,1.2218,1.2989
1/13/2022,1.2979,1.3537,1.2325,1.2508
1/12/2022,1.1875,1.3038,1.1759,1.2979
1/11/2022,1.1351,1.195,1.1229,1.1875
1/10/2022,1.1827,1.1918,1.0725,1.1351
1/9/2022,1.1864,1.23,1.1476,1.1823
1/8/2022,1.2241,1.2532,1.1296,1.1886
1/7/2022,1.2718,1.2851,1.1904,1.225
1/6/2022,1.2443,1.2956,1.1869,1.2722
1/5/2022,1.3199,1.3515,1.2322,1.2444
1/4/2022,1.3261,1.35,1.2956,1.3199
1/3/2022,1.3631,1.3795,1.3111,1.3266
